Size,Time,Battery,RAM,DownloadBandwidth,UploadBandwidth,NetworkType
36,560503,67669,0,3.910897664,101.907125,96.81175,WiFi
37,560156,63681,0,3.914276864,101.907125,96.81175,WiFi
38,567519,66033,0,3.913334784,101.907125,96.81175,WiFi
39,569456,65421,0,3.98702592,101.907125,96.81175,WiFi
40,640603,71322,0,3.925901312,101.907125,96.81175,WiFi
41,641422,74121,1,3.911442432,101.907125,96.81175,WiFi
42,645735,69208,0,3.912347648,101.907125,96.81175,WiFi
43,623291,73917,0,3.99026176,101.907125,96.81175,WiFi
44,652970,76169,0,3.988267008,101.907125,96.81175,WiFi
45,630199,73047,0,4.004790272,101.907125,96.81175,WiFi
46,637425,64656,0,4.155723776,101.907125,96.81175,WiFi
47,633485,71256,0,4.007604224,101.907125,96.81175,WiFi
48,636085,73202,0,4.009934848,101.907125,96.81175,WiFi
49,643760,69427,0,4.012920832,101.907125,96.81175,WiFi
50,714732,84546,0,4.017799168,101.907125,96.81175,WiFi
51,715179,81598,0,4.022120448,101.907125,101.907125,WiFi
52,704240,81393,0,4.021878784,101.907125,101.907125,WiFi
53,698437,79346,1,4.053172224,101.907125,101.907125,WiFi
54,704972,87744,0,4.053942272,101.907125,101.907125,WiFi
55,707492,78114,0,4.059242496,101.907125,101.907125,WiFi
56,714003,76173,0,4.052205568,101.907125,101.907125,WiFi
0,344787,45304,0,3.866628096,3.75,1.875,Mobile
1,349913,43887,0,3.910516736,3.75,1.875,Mobile
2,358582,44227,0,3.89076992,3.75,1.875,Mobile
3,353571,44691,0,3.879317504,3.75,1.875,Mobile
4,358408,45034,0,3.889926144,3.75,1.875,Mobile
5,356924,43019,0,3.882704896,3.75,1.875,Mobile
6,355990,41580,0,3.8214656,3.75,1.875,Mobile
7,360441,43838,0,3.836964864,3.75,1.875,Mobile
8,361034,41488,0,3.8228992,3.75,1.875,Mobile
9,338335,42155,0,3.830685696,3.75,1.875,Mobile
10,426591,52090,0,3.909931008,3.75,1.875,Mobile
11,419959,48379,0,3.96875776,3.75,1.875,Mobile
12,415786,52460,0,3.956903936,3.75,1.875,Mobile
13,408172,49180,0,3.959296,3.75,1.875,Mobile
14,423206,52785,0,3.945762816,3.75,1.875,Mobile
15,426394,49661,0,3.954487296,3.75,1.875,Mobile
16,431425,46980,0,3.939356672,3.75,1.875,Mobile
17,425238,53887,0,3.937533952,3.75,1.875,Mobile
18,420441,53082,1,3.947364352,3.75,1.875,Mobile
19,434222,50378,0,3.9358464,3.75,1.875,Mobile
20,497523,61074,0,3.916959744,3.75,1.875,Mobile
21,495526,65572,0,3.96793856,3.75,1.875,Mobile
22,481587,59142,0,3.961348096,3.75,1.875,Mobile
23,493837,57012,0,3.970895872,3.75,1.875,Mobile
24,489282,63573,1,3.942617088,3.75,1.875,Mobile
25,502206,58844,0,3.950133248,3.75,1.875,Mobile
26,495245,58965,0,3.99091712,3.75,1.875,Mobile
27,503327,56787,0,3.976634368,3.75,1.875,Mobile
28,491187,61763,0,3.979554816,3.75,1.875,Mobile
29,509513,63213,0,3.948986368,3.75,1.875,Mobile
30,572805,71993,0,3.971596288,3.75,1.875,Mobile
31,557930,71268,0,3.977310208,3.75,1.875,Mobile
32,569178,72769,0,3.976597504,3.75,1.875,Mobile
33,555552,67266,1,3.973414912,3.75,1.875,Mobile
34,570056,71110,0,3.976015872,3.75,1.875,Mobile
35,555012,72229,0,3.970121728,3.75,1.875,Mobile
36,556388,73181,0,3.950477312,3.75,1.875,Mobile
37,567480,73428,0,3.95577344,3.75,1.875,Mobile
38,565761,70539,0,3.915812864,3.75,1.875,Mobile
39,555785,69262,0,3.932352512,3.75,1.875,Mobile
40,645007,82165,0,4.039356416,3.75,1.875,Mobile
41,638500,81702,0,4.018814976,3.75,1.875,Mobile
42,628904,79770,0,4.024745984,3.75,1.875,Mobile
43,626937,79073,0,3.9529472,3.75,1.875,Mobile
44,625243,77545,0,3.959083008,3.75,1.875,Mobile
45,640122,81829,0,3.939913728,3.75,1.875,Mobile
46,640173,80143,0,4.0025088,3.75,1.875,Mobile
47,633648,75108,0,3.973681152,3.75,1.875,Mobile
48,633704,80706,1,3.977228288,3.75,1.875,Mobile
49,638358,82441,0,3.962732544,3.75,1.875,Mobile
50,711756,80724,0,3.754610688,3.75,1.875,Mobile
51,715403,86159,0,3.714363392,3.75,1.875,Mobile
52,694382,83893,0,3.724529664,3.75,1.875,Mobile
